EVENTDAYWELLNAME,start_time,end_time,EVENTNAME,EVENTDAYDOWNTIME,EVENTDAYLOSSGAS,EVENTDAYLOSSOIL,EVENTDAYLOSSCONDENSATEFORMATION,GAS RATE,OIL RATE,CONDENSATE RATE,SIBU/NonSIBU,ROOTCAUSEDESCRIPTION
PK-A10:S1,2/15/2004 0:00,2/16/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/15/2004 0:00,2/16/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/15/2004 0:00,2/16/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/16/2004 0:00,2/17/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/16/2004 0:00,2/17/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/16/2004 0:00,2/17/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/17/2004 0:00,2/18/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/17/2004 0:00,2/18/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/17/2004 0:00,2/18/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/18/2004 0:00,2/19/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/18/2004 0:00,2/19/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/18/2004 0:00,2/19/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/19/2004 0:00,2/20/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/19/2004 0:00,2/20/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/19/2004 0:00,2/20/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/20/2004 0:00,2/21/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/20/2004 0:00,2/21/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/20/2004 0:00,2/21/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/21/2004 0:00,2/21/2004 0:05,NULL,0.091944444,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A10:S1,2/21/2004 0:00,2/21/2004 0:05,NULL,0.091944444,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,2/21/2004 0:00,2/21/2004 0:03,NULL,0.058055556,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,2/21/2004 0:03,2/21/2004 1:03,NULL,1,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A11-ST1:S1,2/21/2004 0:05,2/21/2004 1:05,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A10:S1,2/21/2004 0:05,2/21/2004 1:05,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,2/21/2004 1:03,2/22/2004 0:00,NULL,22.94194444,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/21/2004 1:05,2/22/2004 0:00,NULL,22.90777778,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/21/2004 1:05,2/22/2004 0:00,NULL,22.90777778,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/22/2004 0:00,2/22/2004 14:52,NULL,14.87888889,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A11-ST1:S1,2/22/2004 0:00,2/22/2004 13:56,NULL,13.94694444,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A10:S1,2/22/2004 0:00,2/22/2004 14:02,NULL,14.04861111,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A11-ST1:S1,2/22/2004 13:56,2/22/2004 14:56,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A10:S1,2/22/2004 14:02,2/22/2004 15:02,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,2/22/2004 14:52,2/22/2004 15:52,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A11-ST1:S1,2/22/2004 14:56,2/22/2004 15:56,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A10:S1,2/22/2004 15:02,2/22/2004 16:02,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,2/22/2004 15:52,2/22/2004 16:52,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A11-ST1:S1,2/22/2004 15:56,2/22/2004 16:56,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A10:S1,2/22/2004 16:02,2/23/2004 0:00,NULL,7.950833333,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/22/2004 16:52,2/23/2004 0:00,NULL,7.120555556,0,0,0,0,0,0,NonSIBU,EOD Event
